community_id,eu_count,load_kW,cv_tol,avg_start,stop_updates,price_update_count,avg_samples,formal_cv,held_cv,lambda_step,max_age,runtime_s,success,formal_stable,no_nan_inf,audit_pass,stop_reason,delay_hash,update_hash,qre_hash,error_message
112,90,1765.35298059356,17.6535298059356,2225,3889,3889,1664,17.6192130039649,3.85109281541963,2.20431063485682e-07,6,7.2613427,1,1,1,1,dynamic_average_price_step_and_relative_cv,3325408581,353368868,1696512275,
113,80,1725.22990168408,17.2522990168408,2004,3523,3523,1519,17.2088863093923,3.59592771232246,2.24953290772767e-07,6,5.7867327,1,1,1,1,dynamic_average_price_step_and_relative_cv,2790400746,1648926874,1863437967,
114,80,1582.32467861814,15.8232467861814,1923,3612,3612,1689,15.7874776588612,2.68789649752739,2.62631701053451e-07,6,5.6501712,1,1,1,1,dynamic_average_price_step_and_relative_cv,2690254925,34460348,3574348316,
115,50,913.102673534171,9.13102673534171,1056,2785,2785,1729,9.11072944541968,0.393416097776708,7.14915828481377e-08,6,3.0528785,1,1,1,1,dynamic_average_price_step_and_relative_cv,3633397958,3334638115,1986041369,
116,100,2045.7908273093,20.457908273093,2593,4257,4257,1664,19.1436972473412,4.96730347805146,2.6427966287601e-07,6,8.7045658,1,1,1,1,dynamic_average_price_step_and_relative_cv,1402563789,3392244728,349659932,
117,100,2090.91784084902,20.9091784084902,2616,4279,4279,1663,19.1325324043676,4.96900888956407,2.68829118438285e-07,6,8.5290861,1,1,1,1,dynamic_average_price_step_and_relative_cv,2688165552,2736527819,3965640292,
118,80,1490.47257946981,14.9047257946981,1891,3704,3704,1813,14.8704562859421,2.17369235894603,1.76674400914623e-07,6,6.1511433,1,1,1,1,dynamic_average_price_step_and_relative_cv,4167155212,3359179078,2953382205,
119,120,2460.53576775942,24.6053576775942,3249,5245,5245,1996,19.2025395809967,4.97326985572113,1.18880443239489e-07,6,12.2204218,1,1,1,1,dynamic_average_price_step_and_relative_cv,139946065,1488083053,1593954873,
120,90,1550.94402318079,15.5094402318079,2119,4070,4070,1951,15.4800347211149,2.48669822429906,2.08977811638755e-07,6,6.7798814,1,1,1,1,dynamic_average_price_step_and_relative_cv,3958180718,3976910595,1608693242,
121,90,1856.93643869714,18.5693643869714,2285,3844,3844,1559,18.5306100709313,4.52018794281457,3.64011074283077e-07,6,5.9705708,1,1,1,1,dynamic_average_price_step_and_relative_cv,3704967957,3066624760,666086456,
122,90,1876.60052488553,18.7660052488553,2292,3828,3828,1536,18.7280322287622,4.67849716340356,2.38796320828349e-07,6,6.6703101,1,1,1,1,dynamic_average_price_step_and_relative_cv,621678086,3481205880,537479297,
123,90,1823.54395849838,18.2354395849838,2275,3872,3872,1597,18.1954725910209,4.26637953449153,2.33062146220986e-07,6,7.1890665,1,1,1,1,dynamic_average_price_step_and_relative_cv,1926608739,2426706692,4121531990,
